COG4,25839,97.35914,25839,nan
MCM3,4172,93.77528,4172,nan
SNX13,23161,96.81152,23161,nan
PAK4,10298,99.59209,10298,nan
DPH2,1802,94.69824,1802,nan
SNX6,58533,98.62458,58533,nan
WIPF2,147179,103.95804,147179,nan
NENF,29937,96.732834,29937,nan
RPN1,6184,99.31711,6184,nan
C2CD2L,9854,98.247765,9854,nan
GABPB1,2553,99.74488,2553,nan
POLR2K,5440,98.99687,5440,nan
PAF1,54623,100.0311,54623,nan
POLR1C,9533,97.42992,9533,nan
RUVBL1,8607,95.27345,8607,nan
AKT1,207,98.48305,207,nan
SENP6,26054,97.62349,26054,nan
EBP,10682,97.873795,10682,nan
CASK,8573,95.94291,8573,nan
RRP8,23378,95.324196,23378,nan
BHLHE40,8553,97.04268,8553,nan
BDH1,622,98.62458,622,nan
SH3BP5,9467,96.02174,9467,nan
PPP2R5A,5525,97.55482,5525,nan
EML3,256364,97.98362,256364,nan
BIRC5,332,99.58121,332,nan
EPRS,2058,95.213234,2058,nan
PAX8,7849,99.58271,7849,nan
PDS5A,23244,98.093094,23244,nan
XBP1,7494,95.64426,7494,nan
NMT1,4836,94.300415,4836,nan
ARFIP2,23647,97.492165,23647,nan
STAMBP,10617,96.96795,10617,nan
FAH,2184,96.83521,2184,nan
PLP2,5355,100.166214,5355,nan
SOX4,6659,103.65338,6659,nan
TESK1,7016,97.39928,7016,nan
HN1L,nan,nan,nan,TRUE
RRAGA,10670,101.03956,10670,nan
ELOVL6,79071,95.734825,79071,nan
ACBD3,64746,95.625305,64746,nan
PMAIP1,5366,104.95309,5366,nan
TWF2,11344,96.40354,11344,nan
HDAC6,10013,97.14082,10013,nan
PXN,5829,98.33916,5829,nan
PHKB,5257,97.05919,5257,nan
CASC3,22794,98.81079,22794,nan
MLEC,9761,98.0187,9761,nan
USP22,23326,100.501495,23326,nan
TMED10,10972,96.272354,10972,nan
CHERP,10523,97.44277,10523,nan
TRAPPC6A,79090,102.963295,79090,nan
ATP2C1,27032,97.02389,27032,nan
USP14,9097,96.64017,9097,nan
APPBP2,10513,96.55282,10513,nan
ECH1,1891,99.29961,1891,nan
HDAC2,3066,97.91057,3066,nan
MRPL19,9801,97.243195,9801,nan
CSNK2A2,1459,99.4524,1459,nan
KIAA0100,9703,94.52451,9703,nan
PAICS,10606,99.86866,10606,nan
CDK2,1017,97.35009,1017,nan
KIAA0494,nan,nan,nan,TRUE
WRB,7485,94.83178,7485,nan
ETFB,2109,98.11792,2109,nan
CAMSAP2,23271,99.006874,23271,nan
ARNT2,9915,96.13582,9915,nan
SPAG7,9552,98.38277,9552,nan
MAPK1IP1L,93487,98.772125,93487,nan
MSH6,2956,93.77525,2956,nan
UBE2C,11065,96.51724,11065,nan
HS2ST1,9653,98.63689,9653,nan
TXLNA,200081,95.33654,200081,nan
DNAJB1,3337,98.88732,3337,nan
TOPBP1,11073,96.16524,11073,nan
ABCF1,23,97.81165,23,nan
LGMN,5641,101.760445,5641,nan
MBTPS1,8720,96.3147,8720,nan
ZNF274,10782,103.03717,10782,nan
CLIC4,25932,94.88231,25932,nan
HSD17B10,3028,96.54259,3028,nan
STX1A,6804,99.3613,6804,nan
CCNA2,890,98.3753,890,nan
SDHB,6390,90.251915,6390,nan
FOXO4,4303,100.45164,4303,nan
TOMM34,10953,98.0446,10953,nan
KIAA0907,22889,98.126045,22889,nan
HK1,3098,102.52032,3098,nan
PAPD7,11044,96.96795,11044,nan
PLOD3,8985,101.388824,8985,nan
TRAK2,66008,97.02375,66008,nan
VAPB,9217,96.48555,9217,nan
BUB1B,701,95.0212,701,nan
MRPL12,6182,96.999245,6182,nan
PNP,4860,96.75414,4860,nan
USP1,7398,96.350266,7398,nan
RPA1,6117,94.6099,6117,nan
KLHDC2,23588,97.08644,23588,nan
SCARB1,949,98.1171,949,nan
TPM1,7168,94.82278,7168,nan
TM9SF2,9375,95.48748,9375,nan
NUP88,4927,97.34956,4927,nan
FUT1,2523,100.91496,2523,nan
PRUNE,nan,nan,nan,TRUE
SYPL1,6856,98.85602,6856,nan
ZNF451,26036,102.08411,26036,nan
TRIM13,10206,97.35589,10206,nan
FBXO7,25793,97.591415,25793,nan
ENOSF1,55556,99.27222,55556,nan
LIG1,3978,97.20579,3978,nan
GNB5,10681,97.00995,10681,nan
INSIG1,3638,97.98288,3638,nan
HIST2H2BE,8349,109.89657,8349,nan
S100A4,6275,100.20154,6275,nan
KTN1,3895,96.32103,3895,nan
ARHGAP1,392,97.962006,392,nan
LPAR2,9170,100.37684,9170,nan
COASY,80347,97.05919,80347,nan
ATMIN,23300,97.43156,23300,nan
CASP3,836,97.44222,836,nan
NISCH,11188,101.411705,11188,nan
CPSF4,10898,97.88012,10898,nan
COPB2,9276,97.887566,9276,nan
GADD45A,1647,96.95446,1647,nan
SMNDC1,10285,95.28059,10285,nan
NUDCD3,23386,95.93658,23386,nan
HMGCR,3156,97.93669,3156,nan
SLC35B1,10237,94.15093,10237,nan
TIMP2,7077,98.500565,7077,nan
LSM6,11157,96.38924,11157,nan
SACM1L,22908,94.89687,22908,nan
TCERG1,10915,97.55482,10915,nan
KIAA0196,nan,nan,nan,TRUE
DNM1,1759,99.957756,1759,nan
DDIT4,54541,98.18274,54541,nan
ALAS1,211,99.29961,211,nan
PAFAH1B1,5048,95.50687,5048,nan
PSRC1,84722,102.08411,84722,nan
RBM15B,29890,98.48936,29890,nan
TOMM70A,nan,nan,nan,TRUE
CBR1,873,109.92596,873,nan
PRKCD,5580,97.13123,5580,nan
JUN,3725,97.17315,3725,nan
TMEM50A,23585,96.93415,23585,nan
SCCPDH,51097,95.98211,51097,nan
TSC22D3,1831,95.70942,1831,nan
TFAP2A,7020,98.898026,7020,nan
ZNF395,55893,98.024666,55893,nan
VPS72,6944,96.30138,6944,nan
CLSTN1,22883,96.26087,22883,nan
MAPK9,5601,97.661095,5601,nan
POP4,10775,97.82277,10775,nan
POP4,ENSG00000105171,97.3242,nan,nan
NFE2L2,4780,98.763306,4780,nan
BLCAP,10904,99.61092,10904,nan
FAM20B,9917,99.08275,9917,nan
CRKL,1399,98.52756,1399,nan
ZNF318,24149,97.87945,24149,nan
FDFT1,2222,95.53125,2222,nan
TRAP1,10131,96.13582,10131,nan
GTF2A2,2958,95.976135,2958,nan
MTFR1,9650,97.26101,9650,nan
UBE2A,7319,95.18675,7319,nan
NIT1,4817,98.8133,4817,nan
SYNGR3,9143,98.51204,9143,nan
STK25,10494,96.62365,10494,nan
ABCF3,55324,98.04406,55324,nan
FCHO1,23149,98.38173,23149,nan
OXSR1,9943,99.37797,9943,nan
SMARCC1,6599,95.93226,6599,nan
GLOD4,51031,99.91488,51031,nan
IL4R,3566,98.29643,3566,nan
KIT,3815,98.89963,3815,nan
PSMG1,8624,97.30929,8624,nan
TMEM97,27346,97.972,27346,nan
LRRC41,10489,97.39147,10489,nan
KIAA1279,nan,nan,nan,TRUE
TCEAL4,79921,105.099014,79921,nan
NUP133,55746,99.36078,55746,nan
NUP62,23636,98.38118,23636,nan
MALT1,10892,96.63017,10892,nan
YKT6,10652,94.02473,10652,nan
KIF2C,11004,96.272354,11004,nan
NNT,23530,97.43474,23530,nan
IQGAP1,8826,97.591415,8826,nan
HSPA4,3308,96.78608,3308,nan
